,title_ru,t_date,sum_amount
190,Москва,2020-08-26,38985.63
191,Москва,2020-08-27,39520.01
192,Санкт-Петербург,2020-08-27,40664.11
193,Москва,2020-08-28,44537.64
194,Санкт-Петербург,2020-08-28,41190.13
195,Москва,2020-08-29,38184.57
196,Санкт-Петербург,2020-08-29,39941.52
197,Москва,2020-08-30,43329.45
198,Санкт-Петербург,2020-08-30,41176.85
199,Санкт-Петербург,2020-08-31,58731.6
200,Москва,2020-08-31,47722.56
201,Москва,2020-09-01,54198.37
202,Санкт-Петербург,2020-09-01,44285.97
203,Санкт-Петербург,2020-09-02,69058.16
204,Москва,2020-09-02,50216.96
205,Москва,2020-09-03,50619.48
206,Санкт-Петербург,2020-09-03,56725.77
207,Санкт-Петербург,2020-09-04,77579.83
208,Москва,2020-09-04,52421.45
209,Москва,2020-09-05,48589.53
210,Санкт-Петербург,2020-09-05,67859.95
211,Москва,2020-09-06,56181.05
212,Санкт-Петербург,2020-09-06,81898.92
213,Москва,2020-09-07,74236.66
214,Санкт-Петербург,2020-09-07,86636.87
215,Санкт-Петербург,2020-09-08,82542.66
216,Москва,2020-09-08,74030.61
217,Санкт-Петербург,2020-09-09,76807.29
218,Москва,2020-09-09,70717.6
219,Москва,2020-09-10,71235.74
220,Санкт-Петербург,2020-09-10,89589.83
221,Санкт-Петербург,2020-09-11,87452.88
222,Москва,2020-09-11,93385.8
223,Санкт-Петербург,2020-09-12,85569.71
224,Москва,2020-09-12,75592.52
225,Санкт-Петербург,2020-09-13,85224.16
226,Москва,2020-09-13,84005.48
227,Санкт-Петербург,2020-09-14,94008.63
228,Москва,2020-09-14,95834.72
229,Санкт-Петербург,2020-09-15,87729.26
230,Москва,2020-09-15,95972.86
231,Санкт-Петербург,2020-09-16,89509.57
232,Москва,2020-09-16,89312.08
233,Санкт-Петербург,2020-09-17,85799.63
234,Москва,2020-09-17,106520.26
235,Санкт-Петербург,2020-09-18,87638.46
236,Москва,2020-09-18,98275.02
237,Москва,2020-09-19,81633.16
238,Санкт-Петербург,2020-09-19,84441.69
239,Санкт-Петербург,2020-09-20,87624.62
240,Москва,2020-09-20,85039.16
241,Санкт-Петербург,2020-09-21,99744.6
242,Москва,2020-09-21,99611.46
243,Санкт-Петербург,2020-09-22,88687.5
244,Москва,2020-09-22,102225.1
245,Санкт-Петербург,2020-09-23,77918.01
246,Москва,2020-09-23,87848.04
247,Санкт-Петербург,2020-09-24,77887.71
248,Москва,2020-09-24,101284.54
249,Москва,2020-09-25,101788.82
250,Санкт-Петербург,2020-09-25,85130.84
251,Санкт-Петербург,2020-09-26,77899.72
252,Москва,2020-09-26,95700.38
253,Санкт-Петербург,2020-09-27,82782.73
254,Москва,2020-09-27,101214.22
255,Санкт-Петербург,2020-09-28,84459.34
256,Самара,2020-09-28,2500.0
257,Москва,2020-09-28,111171.12
258,Санкт-Петербург,2020-09-29,82399.36
259,Москва,2020-09-29,117072.32
260,Москва,2020-09-30,107548.41
261,Санкт-Петербург,2020-09-30,81539.53
262,Самара,2020-09-30,2453.6
263,Москва,2020-10-01,105966.36
264,Санкт-Петербург,2020-10-01,73470.03
265,Самара,2020-10-01,2476.8
266,Самара,2020-10-02,2476.8
267,Санкт-Петербург,2020-10-02,87818.33
268,Москва,2020-10-02,115085.68
269,Москва,2020-10-03,108197.44
270,Самара,2020-10-03,2476.8
271,Санкт-Петербург,2020-10-03,73179.38
272,Самара,2020-10-04,2476.8
273,Санкт-Петербург,2020-10-04,78389.0
274,Москва,2020-10-04,109064.78
275,Москва,2020-10-05,120592.56
276,Санкт-Петербург,2020-10-05,87008.34
277,Самара,2020-10-05,2476.8
278,Москва,2020-10-06,119426.32
279,Самара,2020-10-06,2476.8
280,Санкт-Петербург,2020-10-06,74216.21
281,Санкт-Петербург,2020-10-07,84827.57
282,Самара,2020-10-07,2476.8
283,Москва,2020-10-07,127609.26
284,Тольятти,2020-10-07,3942.0
285,Москва,2020-10-08,132566.64
286,Санкт-Петербург,2020-10-08,80945.9
287,Самара,2020-10-08,2476.8
288,Тольятти,2020-10-08,29.38
289,Москва,2020-10-09,127455.84
290,Санкт-Петербург,2020-10-09,80790.34
291,Самара,2020-10-09,2477.66
292,Тольятти,2020-10-09,3931.2
293,Санкт-Петербург,2020-10-10,79757.09
294,Самара,2020-10-10,2476.8
295,Москва,2020-10-10,106125.84
296,Тольятти,2020-10-10,3931.2
297,Москва,2020-10-11,101762.08
298,Санкт-Петербург,2020-10-11,85618.27
299,Самара,2020-10-11,2476.8
300,Тольятти,2020-10-11,3931.2
301,Москва,2020-10-12,117786.8
302,Тольятти,2020-10-12,3632.72
303,Санкт-Петербург,2020-10-12,91718.85
304,Самара,2020-10-12,2476.8
305,Москва,2020-10-13,116592.06
306,Самара,2020-10-13,2476.8
307,Санкт-Петербург,2020-10-13,77555.85
308,Тольятти,2020-10-13,2620.8
309,Самара,2020-10-14,3701.0
310,Москва,2020-10-14,103093.76
311,Санкт-Петербург,2020-10-14,72653.02
312,Тольятти,2020-10-14,2620.8
313,Москва,2020-10-15,124539.26
314,Санкт-Петербург,2020-10-15,78077.95
315,Самара,2020-10-15,1238.4
316,Тольятти,2020-10-15,2620.8
317,Москва,2020-10-16,108069.68
318,Санкт-Петербург,2020-10-16,79900.36
319,Самара,2020-10-16,2465.2
320,Тольятти,2020-10-16,1310.4
321,Москва,2020-10-17,101417.8
322,Санкт-Петербург,2020-10-17,70432.54
323,Самара,2020-10-17,2476.8
324,Тольятти,2020-10-17,2620.8
325,Москва,2020-10-18,104609.0
326,Самара,2020-10-18,2476.8
327,Санкт-Петербург,2020-10-18,76139.97
328,Тольятти,2020-10-18,2620.8
329,Санкт-Петербург,2020-10-19,90420.19
330,Москва,2020-10-19,152435.74
331,Самара,2020-10-19,2476.8
332,Тольятти,2020-10-19,2620.8
333,Санкт-Петербург,2020-10-20,73789.39
334,Москва,2020-10-20,125391.2
335,Самара,2020-10-20,2476.8
336,Тольятти,2020-10-20,2620.8
337,Москва,2020-10-21,124653.62
338,Санкт-Петербург,2020-10-21,91234.11
339,Самара,2020-10-21,2476.8
340,Тольятти,2020-10-21,5343.13
341,Москва,2020-10-22,126613.56
342,Самара,2020-10-22,2476.8
343,Санкт-Петербург,2020-10-22,78899.91
344,Тольятти,2020-10-22,1320.8
345,Москва,2020-10-23,123356.52
346,Санкт-Петербург,2020-10-23,88408.5
347,Самара,2020-10-23,2476.8
348,Тольятти,2020-10-23,2620.8
349,Москва,2020-10-24,115485.28
350,Санкт-Петербург,2020-10-24,77752.74
351,Самара,2020-10-24,2477.66
352,Тольятти,2020-10-24,2620.8
353,Москва,2020-10-25,116982.08
354,Санкт-Петербург,2020-10-25,86252.73
355,Самара,2020-10-25,2476.8
356,Тольятти,2020-10-25,2620.8
357,Санкт-Петербург,2020-10-26,89843.66
358,Москва,2020-10-26,123701.36
359,Самара,2020-10-26,2381.34
360,Тольятти,2020-10-26,2620.8
361,Москва,2020-10-27,117474.76
362,Санкт-Петербург,2020-10-27,78677.14
363,Самара,2020-10-27,1238.4
364,Тольятти,2020-10-27,2620.8
365,Москва,2020-10-28,124235.66
366,Санкт-Петербург,2020-10-28,79366.92
367,Самара,2020-10-28,1238.4
368,Тольятти,2020-10-28,2620.8
369,Санкт-Петербург,2020-10-29,100864.74
370,Москва,2020-10-29,144006.84
371,Самара,2020-10-29,1238.4
372,Тольятти,2020-10-29,2620.8
373,Москва,2020-10-30,124124.64
374,Санкт-Петербург,2020-10-30,87998.36
375,Самара,2020-10-30,2488.4
376,Тольятти,2020-10-30,2620.8
377,Москва,2020-10-31,102499.56
378,Санкт-Петербург,2020-10-31,82418.68
379,Самара,2020-10-31,1238.4
380,Тольятти,2020-10-31,2620.8
381,Санкт-Петербург,2020-11-01,85484.66
382,Москва,2020-11-01,104622.0
383,Самара,2020-11-01,2465.2
384,Тольятти,2020-11-01,2620.8
385,Санкт-Петербург,2020-11-02,92808.52
386,Москва,2020-11-02,152654.84
387,Самара,2020-11-02,2476.8
388,Тольятти,2020-11-02,2510.4
389,Москва,2020-11-03,115267.82
390,Санкт-Петербург,2020-11-03,93936.69
391,Самара,2020-11-03,2476.8
392,Тольятти,2020-11-03,3730.4
393,Санкт-Петербург,2020-11-04,78124.39
394,Москва,2020-11-04,102640.28
395,Тольятти,2020-11-04,3841.72
396,Самара,2020-11-04,2476.8
397,Москва,2020-11-05,146703.74
398,Санкт-Петербург,2020-11-05,84761.21
399,Самара,2020-11-05,2476.8
400,Тольятти,2020-11-05,5030.4
401,Москва,2020-11-06,129155.84
402,Санкт-Петербург,2020-11-06,80568.98
403,Самара,2020-11-06,2476.8
404,Тольятти,2020-11-06,3834.96
405,Москва,2020-11-07,104635.48
406,Санкт-Петербург,2020-11-07,76233.19
407,Самара,2020-11-07,2476.8
408,Тольятти,2020-11-07,3830.4
409,Санкт-Петербург,2020-11-08,70691.73
410,Самара,2020-11-08,2476.8
411,Москва,2020-11-08,100335.44
412,Тольятти,2020-11-08,3830.4
413,Санкт-Петербург,2020-11-09,79910.55
414,Москва,2020-11-09,151746.4
415,Самара,2020-11-09,2476.8
416,Тольятти,2020-11-09,7324.4
417,Москва,2020-11-10,111538.6
418,Санкт-Петербург,2020-11-10,53478.27
419,Тольятти,2020-11-10,3589.39
420,Самара,2020-11-10,1344.18
421,Москва,2020-11-11,99180.68
422,Тольятти,2020-11-11,5028.08
423,Санкт-Петербург,2020-11-11,68553.14
424,Самара,2020-11-11,2481.96
425,Санкт-Петербург,2020-11-12,76646.99
426,Тольятти,2020-11-12,7335.72
427,Москва,2020-11-12,112856.14
428,Самара,2020-11-12,2476.8
429,Москва,2020-11-13,115720.24
430,Самара,2020-11-13,2206.76
431,Тольятти,2020-11-13,7357.56
432,Санкт-Петербург,2020-11-13,80922.9
433,Санкт-Петербург,2020-11-14,74831.72
434,Москва,2020-11-14,100370.2
435,Тольятти,2020-11-14,3738.36
436,Самара,2020-11-14,1238.4
437,Тольятти,2020-11-15,8570.52
438,Самара,2020-11-15,2488.4
439,Москва,2020-11-15,93498.44
440,Санкт-Петербург,2020-11-15,74067.49
441,Тольятти,2020-11-16,11215.4
442,Санкт-Петербург,2020-11-16,89223.06
443,Москва,2020-11-16,127109.16
444,Самара,2020-11-16,3781.84
445,Тольятти,2020-11-17,13237.08
446,Самара,2020-11-17,1226.8
447,Санкт-Петербург,2020-11-17,74550.94
448,Москва,2020-11-17,193531.78
449,Москва,2020-11-18,110815.92
450,Тольятти,2020-11-18,10135.2
451,Самара,2020-11-18,2465.2
452,Санкт-Петербург,2020-11-18,75755.0
453,Москва,2020-11-19,119670.8
454,Тольятти,2020-11-19,12388.8
455,Самара,2020-11-19,2476.8
456,Санкт-Петербург,2020-11-19,80656.61
457,Тольятти,2020-11-20,14558.04
458,Москва,2020-11-20,117319.02
459,Самара,2020-11-20,2476.8
460,Санкт-Петербург,2020-11-20,74695.25
461,Тольятти,2020-11-21,13708.8
462,Самара,2020-11-21,2476.8
463,Санкт-Петербург,2020-11-21,69491.91
464,Москва,2020-11-21,104792.68
465,Тольятти,2020-11-22,13715.04
466,Самара,2020-11-22,2476.8
467,Санкт-Петербург,2020-11-22,73440.11
468,Москва,2020-11-22,115151.4
469,Тольятти,2020-11-23,13738.2
470,Москва,2020-11-23,157372.88
471,Самара,2020-11-23,2476.8
472,Санкт-Петербург,2020-11-23,84246.59
473,Тольятти,2020-11-24,21187.33
474,Самара,2020-11-24,2476.8
475,Москва,2020-11-24,107105.4
476,Санкт-Петербург,2020-11-24,78083.18
477,Москва,2020-11-25,123088.84
478,Тольятти,2020-11-25,12508.8
479,Самара,2020-11-25,2476.8
480,Санкт-Петербург,2020-11-25,81062.04
481,Москва,2020-11-26,120363.84
482,Тольятти,2020-11-26,12528.03
483,Самара,2020-11-26,2477.66
484,Санкт-Петербург,2020-11-26,79660.37
485,Москва,2020-11-27,129798.02
486,Санкт-Петербург,2020-11-27,77989.05
487,Тольятти,2020-11-27,17810.51
488,Самара,2020-11-27,2476.8
489,Санкт-Петербург,2020-11-28,82799.19
490,Москва,2020-11-28,115951.14
491,Тольятти,2020-11-28,13662.71
492,Самара,2020-11-28,2477.66
493,Тольятти,2020-11-29,14249.28
494,Москва,2020-11-29,120603.6
495,Самара,2020-11-29,2476.8
496,Санкт-Петербург,2020-11-29,83590.09
497,Москва,2020-11-30,134865.38
498,Тольятти,2020-11-30,20698.31
499,Санкт-Петербург,2020-11-30,81435.91
500,Самара,2020-11-30,2476.8
501,Тольятти,2020-12-01,13935.0
502,Санкт-Петербург,2020-12-01,81094.97
503,Самара,2020-12-01,2476.8
504,Москва,2020-12-01,137862.6
505,Тольятти,2020-12-02,22584.03
506,Москва,2020-12-02,121886.4
507,Самара,2020-12-02,2563.66
508,Санкт-Петербург,2020-12-02,74506.74
509,Тольятти,2020-12-03,22447.33
510,Москва,2020-12-03,129668.0
511,Санкт-Петербург,2020-12-03,78962.0
512,Самара,2020-12-03,1238.4
513,Тольятти,2020-12-04,25181.63
514,Москва,2020-12-04,129111.2
515,Самара,2020-12-04,2488.4
516,Санкт-Петербург,2020-12-04,72557.15
517,Москва,2020-12-05,106952.32
518,Тольятти,2020-12-05,21168.91
519,Санкт-Петербург,2020-12-05,79195.67
520,Самара,2020-12-05,1238.4
521,Самара,2020-12-06,2312.98
522,Тольятти,2020-12-06,21136.12
523,Москва,2020-12-06,118630.6
524,Санкт-Петербург,2020-12-06,78254.32
525,Тольятти,2020-12-07,25979.48
526,Москва,2020-12-07,141743.44
527,Санкт-Петербург,2020-12-07,80495.24
528,Самара,2020-12-07,1238.4
529,Москва,2020-12-08,137233.4
530,Тольятти,2020-12-08,24690.04
531,Санкт-Петербург,2020-12-08,83853.44
532,Самара,2020-12-08,1238.4
533,Тольятти,2020-12-09,23738.92
534,Санкт-Петербург,2020-12-09,78679.54
535,Москва,2020-12-09,106907.6
536,Самара,2020-12-09,1238.4
537,Москва,2020-12-10,122940.36
538,Тольятти,2020-12-10,30973.44
539,Санкт-Петербург,2020-12-10,77157.4
540,Самара,2020-12-10,1238.4
541,Москва,2020-12-11,121310.94
542,Тольятти,2020-12-11,26357.12
543,Санкт-Петербург,2020-12-11,82873.31
544,Самара,2020-12-11,1238.4
545,Москва,2020-12-12,109011.24
546,Тольятти,2020-12-12,27212.51
547,Санкт-Петербург,2020-12-12,72897.74
548,Самара,2020-12-12,1238.4
549,Санкт-Петербург,2020-12-13,72337.58
550,Москва,2020-12-13,116246.2
551,Тольятти,2020-12-13,23589.93
552,Самара,2020-12-13,1238.4
553,Санкт-Петербург,2020-12-14,72459.53
554,Тольятти,2020-12-14,28849.79
555,Москва,2020-12-14,126340.44
556,Самара,2020-12-14,2488.4
557,Санкт-Петербург,2020-12-15,74430.17
558,Москва,2020-12-15,144974.16
559,Тольятти,2020-12-15,20918.52
560,Самара,2020-12-15,1238.4
561,Санкт-Петербург,2020-12-16,71106.31
562,Тольятти,2020-12-16,33527.39
563,Москва,2020-12-16,120193.44
564,Самара,2020-12-16,2465.2
565,Санкт-Петербург,2020-12-17,78021.64
566,Москва,2020-12-17,118759.52
567,Тольятти,2020-12-17,24900.59
568,Самара,2020-12-17,3713.9
569,Тольятти,2020-12-18,59914.61
570,Санкт-Петербург,2020-12-18,85975.27
571,Москва,2020-12-18,136144.88
572,Самара,2020-12-18,1238.4
573,Санкт-Петербург,2020-12-19,72906.16
574,Москва,2020-12-19,106230.64
575,Тольятти,2020-12-19,29275.47
576,Самара,2020-12-19,1238.4
577,Санкт-Петербург,2020-12-20,83855.06
578,Тольятти,2020-12-20,31416.01
579,Москва,2020-12-20,121004.08
580,Самара,2020-12-20,2453.6
581,Москва,2020-12-21,121547.12
582,Санкт-Петербург,2020-12-21,86699.02
583,Тольятти,2020-12-21,35786.74
584,Самара,2020-12-21,2476.8
585,Санкт-Петербург,2020-12-22,82419.5
586,Москва,2020-12-22,131638.6
587,Тольятти,2020-12-22,33640.64
588,Самара,2020-12-22,2476.8
589,Москва,2020-12-23,152199.62
590,Санкт-Петербург,2020-12-23,86068.17
591,Тольятти,2020-12-23,41056.28
592,Самара,2020-12-23,2476.8
593,Москва,2020-12-24,139323.4
594,Санкт-Петербург,2020-12-24,95950.91
595,Тольятти,2020-12-24,48966.31
596,Самара,2020-12-24,2476.8
597,Москва,2020-12-25,135758.8
598,Санкт-Петербург,2020-12-25,94215.44
599,Тольятти,2020-12-25,33873.8
600,Самара,2020-12-25,2477.66
601,Москва,2020-12-26,122007.8
602,Санкт-Петербург,2020-12-26,89359.46
603,Тольятти,2020-12-26,38401.1
604,Самара,2020-12-26,2476.8
605,Москва,2020-12-27,133733.0
606,Санкт-Петербург,2020-12-27,91125.67
607,Тольятти,2020-12-27,30923.28
608,Самара,2020-12-27,2476.8
609,Москва,2020-12-28,138251.02
610,Санкт-Петербург,2020-12-28,99715.52
611,Тольятти,2020-12-28,42113.75
612,Самара,2020-12-28,2476.8
613,Москва,2020-12-29,125756.22
614,Санкт-Петербург,2020-12-29,92794.93
615,Тольятти,2020-12-29,30096.61
616,Самара,2020-12-29,2476.8
617,Тольятти,2020-12-30,47978.35
618,Москва,2020-12-30,136878.92
619,Самара,2020-12-30,2476.8
620,Санкт-Петербург,2020-12-30,88608.76
621,Санкт-Петербург,2020-12-31,82643.23
622,Москва,2020-12-31,112498.6
623,Тольятти,2020-12-31,37901.18
624,Самара,2020-12-31,2307.38
625,Санкт-Петербург,2021-01-01,147106.33
626,Москва,2021-01-01,104538.68
627,Тольятти,2021-01-01,32447.52
628,Самара,2021-01-01,1238.4
629,Москва,2021-01-02,85537.6
630,Тольятти,2021-01-02,37212.96
631,Санкт-Петербург,2021-01-02,24770.22
632,Самара,2021-01-02,1238.4
633,Москва,2021-01-03,96492.03
634,Санкт-Петербург,2021-01-03,66563.56
635,Тольятти,2021-01-03,31328.16
636,Самара,2021-01-03,1238.4
637,Тольятти,2021-01-04,36080.71
638,Москва,2021-01-04,86900.99
639,Санкт-Петербург,2021-01-04,63422.27
640,Самара,2021-01-04,2488.4
641,Москва,2021-01-05,105316.75
642,Санкт-Петербург,2021-01-05,65219.61
643,Тольятти,2021-01-05,28800.96
644,Самара,2021-01-05,1238.4
645,Москва,2021-01-06,91418.19
646,Санкт-Петербург,2021-01-06,59518.44
647,Тольятти,2021-01-06,36187.2
648,Самара,2021-01-06,2465.2
649,Тольятти,2021-01-07,33856.02
650,Москва,2021-01-07,86060.82
651,Санкт-Петербург,2021-01-07,59693.4
652,Самара,2021-01-07,2476.8
653,Москва,2021-01-08,87641.67
654,Тольятти,2021-01-08,31167.62
655,Санкт-Петербург,2021-01-08,59793.91
656,Самара,2021-01-08,2476.8
657,Москва,2021-01-09,87138.48
658,Санкт-Петербург,2021-01-09,66148.69
659,Тольятти,2021-01-09,31076.28
660,Самара,2021-01-09,2686.64
661,Москва,2021-01-10,83159.63
662,Санкт-Петербург,2021-01-10,60263.39
663,Тольятти,2021-01-10,29669.16
664,Самара,2021-01-10,1238.4
665,Москва,2021-01-11,144381.48
666,Санкт-Петербург,2021-01-11,136531.32
667,Тольятти,2021-01-11,33137.95
668,Самара,2021-01-11,2488.4
669,Тольятти,2021-01-12,51490.76
670,Москва,2021-01-12,92664.0
671,Санкт-Петербург,2021-01-12,5674.2
672,Самара,2021-01-12,1238.4
673,Москва,2021-01-13,104207.84
674,Тольятти,2021-01-13,42540.94
675,Санкт-Петербург,2021-01-13,75235.76
676,Самара,2021-01-13,2465.2
677,Москва,2021-01-14,121586.4
678,Санкт-Петербург,2021-01-14,77956.81
679,Тольятти,2021-01-14,35894.96
680,Самара,2021-01-14,2476.8
681,Москва,2021-01-15,110091.0
682,Санкт-Петербург,2021-01-15,80977.23
683,Тольятти,2021-01-15,36086.02
684,Самара,2021-01-15,2476.8
685,Тольятти,2021-01-16,34219.8
686,Москва,2021-01-16,109580.6
687,Санкт-Петербург,2021-01-16,79379.19
688,Самара,2021-01-16,2476.8
689,Москва,2021-01-17,131179.64
690,Санкт-Петербург,2021-01-17,79112.29
691,Тольятти,2021-01-17,34558.7
692,Самара,2021-01-17,2477.66
