,city,created_at_format,total_debt_total
308,Санкт-Петербург,2021-05-30,1454.4
309,Тольятти,2021-05-30,1008.7
310,Москва,2021-05-31,2880.0
311,Санкт-Петербург,2021-05-31,1454.4
312,Тольятти,2021-05-31,1008.0
313,Москва,2021-06-01,4320.0
314,Санкт-Петербург,2021-06-01,1455.41
315,Тольятти,2021-06-01,1008.0
316,Москва,2021-06-02,4487.0
317,Санкт-Петербург,2021-06-02,1454.4
318,Москва,2021-06-03,2881.0
319,Санкт-Петербург,2021-06-03,1440.26
320,Москва,2021-06-04,2880.0
321,Самара,2021-06-04,1252.8
322,Москва,2021-06-05,4320.0
323,Самара,2021-06-05,1252.8
324,Москва,2021-06-06,2880.0
325,Самара,2021-06-06,1252.8
326,Москва,2021-06-07,4079.0
327,Самара,2021-06-07,1252.8
328,Тольятти,2021-06-07,1008.0
329,Москва,2021-06-08,1440.0
330,Самара,2021-06-08,1252.8
331,Самара,2021-06-09,1224.09
332,Тольятти,2021-06-10,1008.0
333,Москва,2021-06-12,1440.0
334,Тольятти,2021-06-12,1008.0
335,Москва,2021-06-13,2880.0
336,Тольятти,2021-06-13,1008.0
337,Москва,2021-06-14,1502.0
338,Тольятти,2021-06-14,1008.0
339,Тольятти,2021-06-16,1008.0
340,Москва,2021-06-18,1440.0
341,Москва,2021-06-20,1440.0
342,Москва,2021-06-22,1440.0
343,Москва,2021-06-23,2361.6
344,Москва,2021-06-24,2361.6
345,Москва,2021-06-27,2363.24
346,Москва,2021-06-28,2361.6
347,Москва,2021-06-29,2361.6
348,Москва,2021-06-30,2365.6
349,Москва,2021-07-01,3801.6
350,Москва,2021-07-02,1440.0
351,Санкт-Петербург,2021-07-05,1459.45
352,Москва,2021-07-06,1440.0
353,Москва,2021-07-08,1440.0
354,Москва,2021-07-09,1440.0
355,Москва,2021-07-10,1440.0
356,Москва,2021-07-11,1440.0
357,Москва,2021-07-13,1440.0
358,Москва,2021-07-14,4703.0
359,Москва,2021-07-15,3048.0
360,Москва,2021-07-16,3221.0
361,Москва,2021-07-17,1440.0
362,Москва,2021-07-18,1660.0
363,Санкт-Петербург,2021-07-25,1454.4
364,Санкт-Петербург,2021-07-26,1454.4
365,Самара,2021-07-28,1252.8
366,Самара,2021-07-29,106.14
367,Санкт-Петербург,2021-07-29,1454.4
368,Санкт-Петербург,2021-07-30,1488.74
369,Тольятти,2021-08-01,1209.6
370,Санкт-Петербург,2021-08-03,1454.4
