,city,created_at_format,total_debt_total
308,Санкт-Петербург,2020-12-23,3663.2
309,Тольятти,2020-12-23,1209.6
310,Москва,2020-12-24,13277.8
311,Санкт-Петербург,2020-12-24,1858.8
312,Тольятти,2020-12-24,1310.4
313,Москва,2020-12-25,10099.0
314,Санкт-Петербург,2020-12-25,1454.4
315,Тольятти,2020-12-25,5082.84
316,Москва,2020-12-26,14409.0
317,Санкт-Петербург,2020-12-26,1454.4
318,Тольятти,2020-12-26,3830.4
319,Москва,2020-12-27,9414.8
320,Санкт-Петербург,2020-12-27,4366.59
321,Тольятти,2020-12-27,6048.77
322,Москва,2020-12-28,17609.8
323,Санкт-Петербург,2020-12-28,4363.2
324,Тольятти,2020-12-28,7272.16
325,Москва,2020-12-29,13280.02
326,Санкт-Петербург,2020-12-29,1454.4
327,Тольятти,2020-12-29,7560.0
328,Москва,2020-12-30,8948.02
329,Санкт-Петербург,2020-12-30,5474.67
330,Тольятти,2020-12-30,3830.4
331,Москва,2020-12-31,8121.6
332,Санкт-Петербург,2020-12-31,7065.64
333,Тольятти,2020-12-31,1209.6
334,Москва,2021-01-01,15848.0
335,Санкт-Петербург,2021-01-01,4365.22
336,Тольятти,2021-01-01,6080.76
337,Москва,2021-01-02,10399.8
338,Санкт-Петербург,2021-01-02,1454.4
339,Тольятти,2021-01-02,2521.68
340,Москва,2021-01-03,8607.0
341,Санкт-Петербург,2021-01-03,2884.4
342,Тольятти,2021-01-03,7549.92
343,Москва,2021-01-04,8101.72
344,Санкт-Петербург,2021-01-04,3439.34
345,Тольятти,2021-01-04,8870.4
346,Москва,2021-01-05,14420.36
347,Санкт-Петербург,2021-01-05,2908.8
348,Тольятти,2021-01-05,7509.74
349,Москва,2021-01-06,9610.6
350,Санкт-Петербург,2021-01-06,3903.78
351,Тольятти,2021-01-06,7459.2
352,Москва,2021-01-07,9564.6
353,Санкт-Петербург,2021-01-07,3903.78
354,Тольятти,2021-01-07,6273.05
355,Москва,2021-01-08,10396.8
356,Санкт-Петербург,2021-01-08,4899.45
357,Тольятти,2021-01-08,6249.6
358,Москва,2021-01-09,4860.8
359,Санкт-Петербург,2021-01-09,5890.29
360,Тольятти,2021-01-09,6048.0
361,Москва,2021-01-10,9198.2
362,Санкт-Петербург,2021-01-10,4898.76
363,Тольятти,2021-01-10,5040.0
364,Москва,2021-01-11,15712.47
365,Санкт-Петербург,2021-01-11,2448.69
366,Тольятти,2021-01-11,7344.12
367,Москва,2021-01-12,14486.88
368,Санкт-Петербург,2021-01-12,3910.19
369,Тольятти,2021-01-12,7797.72
370,Москва,2021-01-13,15949.2
371,Санкт-Петербург,2021-01-13,8703.87
372,Тольятти,2021-01-13,5041.68
373,Москва,2021-01-14,12548.4
374,Санкт-Петербург,2021-01-14,4370.27
375,Тольятти,2021-01-14,5472.6
376,Москва,2021-01-15,18518.4
377,Санкт-Петербург,2021-01-15,4391.89
378,Тольятти,2021-01-15,3739.2
379,Москва,2021-01-16,10991.6
380,Санкт-Петербург,2021-01-16,4852.8
381,Тольятти,2021-01-16,4838.4
382,Москва,2021-01-17,19632.6
383,Санкт-Петербург,2021-01-17,6576.04
384,Тольятти,2021-01-17,6250.51
385,Москва,2021-01-18,25730.4
386,Санкт-Петербург,2021-01-18,6310.23
387,Тольятти,2021-01-18,7669.56
388,Москва,2021-01-19,21404.4
389,Санкт-Петербург,2021-01-19,4365.22
390,Тольятти,2021-01-19,3729.4
391,Москва,2021-01-20,20781.6
392,Санкт-Петербург,2021-01-20,4367.24
393,Тольятти,2021-01-20,3754.8
394,Москва,2021-01-21,32625.0
395,Санкт-Петербург,2021-01-21,2250.28
396,Тольятти,2021-01-21,3689.28
397,Москва,2021-01-22,18522.4
398,Санкт-Петербург,2021-01-22,2908.8
399,Тольятти,2021-01-22,7469.64
400,Москва,2021-01-23,30657.84
401,Санкт-Петербург,2021-01-23,2908.8
402,Тольятти,2021-01-23,11289.6
403,Москва,2021-01-24,19036.0
404,Санкт-Петербург,2021-01-24,4852.8
405,Тольятти,2021-01-24,11047.68
406,Москва,2021-01-25,19168.8
407,Санкт-Петербург,2021-01-25,6767.01
408,Тольятти,2021-01-25,10857.91
409,Москва,2021-01-26,22767.6
410,Санкт-Петербург,2021-01-26,8166.0
411,Тольятти,2021-01-26,6106.94
412,Москва,2021-01-27,15044.6
413,Санкт-Петербург,2021-01-27,5467.0
414,Тольятти,2021-01-27,3830.4
415,Москва,2021-01-28,30324.2
416,Санкт-Петербург,2021-01-28,7794.6
417,Тольятти,2021-01-28,5040.0
418,Москва,2021-01-29,17278.8
419,Санкт-Петербург,2021-01-29,4011.4
420,Тольятти,2021-01-29,7455.0
421,Москва,2021-01-30,20177.0
422,Санкт-Петербург,2021-01-30,4010.8
423,Тольятти,2021-01-30,8676.72
424,Москва,2021-01-31,16109.56
425,Санкт-Петербург,2021-01-31,6261.24
426,Тольятти,2021-01-31,13708.8
427,Москва,2021-02-01,25926.0
428,Санкт-Петербург,2021-02-01,6309.22
429,Тольятти,2021-02-01,9777.6
430,Москва,2021-02-02,28804.0
431,Санкт-Петербург,2021-02-02,6308.21
432,Тольятти,2021-02-02,9774.31
433,Москва,2021-02-03,24489.0
434,Санкт-Петербург,2021-02-03,6711.6
435,Тольятти,2021-02-03,7257.6
436,Москва,2021-02-04,30561.8
437,Санкт-Петербург,2021-02-04,4768.61
438,Тольятти,2021-02-04,9980.11
439,Москва,2021-02-05,25270.6
440,Санкт-Петербург,2021-02-05,5688.25
441,Тольятти,2021-02-05,11074.63
442,Москва,2021-02-06,26959.8
443,Санкт-Петербург,2021-02-06,7768.67
444,Тольятти,2021-02-06,14918.4
445,Москва,2021-02-07,24596.2
446,Санкт-Петербург,2021-02-07,5660.55
447,Тольятти,2021-02-07,16131.85
448,Москва,2021-02-08,29120.8
449,Санкт-Петербург,2021-02-08,2908.8
450,Тольятти,2021-02-08,12297.6
451,Москва,2021-02-09,26306.8
452,Санкт-Петербург,2021-02-09,7334.62
453,Тольятти,2021-02-09,12207.2
454,Москва,2021-02-10,28911.8
455,Санкт-Петербург,2021-02-10,5620.65
456,Тольятти,2021-02-10,11995.2
457,Москва,2021-02-11,30873.6
458,Самара,2021-02-11,1238.4
459,Санкт-Петербург,2021-02-11,2908.8
460,Тольятти,2021-02-11,11931.36
461,Москва,2021-02-12,35186.6
462,Санкт-Петербург,2021-02-12,2908.8
463,Тольятти,2021-02-12,10987.2
464,Москва,2021-02-13,33786.0
465,Самара,2021-02-13,1238.4
466,Санкт-Петербург,2021-02-13,2908.8
467,Тольятти,2021-02-13,13406.4
468,Москва,2021-02-14,19959.62
469,Самара,2021-02-14,1226.8
470,Санкт-Петербург,2021-02-14,3313.2
471,Тольятти,2021-02-14,23052.96
472,Москва,2021-02-15,29476.6
473,Самара,2021-02-15,2476.8
474,Санкт-Петербург,2021-02-15,2908.8
475,Тольятти,2021-02-15,12198.34
476,Москва,2021-02-16,24488.0
477,Самара,2021-02-16,2476.8
478,Санкт-Петербург,2021-02-16,2908.8
479,Тольятти,2021-02-16,13608.84
480,Москва,2021-02-17,32319.82
481,Самара,2021-02-17,2477.66
482,Санкт-Петербург,2021-02-17,3855.17
483,Тольятти,2021-02-17,15624.0
484,Москва,2021-02-18,32731.6
485,Самара,2021-02-18,2476.8
486,Санкт-Петербург,2021-02-18,4366.59
487,Тольятти,2021-02-18,15567.79
488,Москва,2021-02-19,30046.4
489,Самара,2021-02-19,2476.8
490,Санкт-Петербург,2021-02-19,1454.4
491,Тольятти,2021-02-19,12096.84
492,Москва,2021-02-20,32081.8
493,Санкт-Петербург,2021-02-20,4366.23
494,Тольятти,2021-02-20,16803.36
495,Москва,2021-02-21,28802.0
496,Самара,2021-02-21,3729.6
497,Санкт-Петербург,2021-02-21,3035.05
498,Тольятти,2021-02-21,19454.4
499,Москва,2021-02-22,25401.6
500,Самара,2021-02-22,2764.04
501,Санкт-Петербург,2021-02-22,4123.29
502,Тольятти,2021-02-22,20585.88
503,Москва,2021-02-23,18201.6
504,Санкт-Петербург,2021-02-23,3313.2
505,Тольятти,2021-02-23,23286.55
506,Москва,2021-02-24,31708.2
507,Самара,2021-02-24,1238.4
508,Санкт-Петербург,2021-02-24,4901.53
509,Тольятти,2021-02-24,23192.47
510,Москва,2021-02-25,30568.8
511,Санкт-Петербург,2021-02-25,2910.82
512,Тольятти,2021-02-25,13406.4
513,Москва,2021-02-26,23531.2
514,Санкт-Петербург,2021-02-26,2908.8
515,Тольятти,2021-02-26,12297.6
516,Москва,2021-02-27,25401.2
517,Самара,2021-02-27,2863.17
518,Санкт-Петербург,2021-02-27,4365.22
519,Тольятти,2021-02-27,18244.8
520,Москва,2021-02-28,19642.6
521,Санкт-Петербург,2021-02-28,4363.2
522,Тольятти,2021-02-28,21816.97
523,Москва,2021-03-01,26642.0
524,Самара,2021-03-01,1252.8
525,Санкт-Петербург,2021-03-01,5820.63
526,Тольятти,2021-03-01,12196.8
527,Москва,2021-03-02,28916.2
528,Самара,2021-03-02,3758.4
529,Санкт-Петербург,2021-03-02,5817.6
530,Тольятти,2021-03-02,20623.75
531,Москва,2021-03-03,33457.2
532,Самара,2021-03-03,1252.8
533,Санкт-Петербург,2021-03-03,7274.02
534,Тольятти,2021-03-03,11995.2
535,Москва,2021-03-04,24364.4
536,Самара,2021-03-04,2505.6
537,Санкт-Петербург,2021-03-04,4363.2
538,Тольятти,2021-03-04,20349.91
539,Москва,2021-03-05,23969.6
540,Самара,2021-03-05,2505.6
541,Санкт-Петербург,2021-03-05,5818.61
542,Тольятти,2021-03-05,22421.78
543,Москва,2021-03-06,26236.8
544,Самара,2021-03-06,1252.8
545,Санкт-Петербург,2021-03-06,4067.6
546,Тольятти,2021-03-06,14616.0
547,Москва,2021-03-07,23018.0
548,Самара,2021-03-07,2505.6
549,Санкт-Петербург,2021-03-07,2208.8
550,Тольятти,2021-03-07,29534.4
551,Москва,2021-03-08,35216.28
552,Самара,2021-03-08,7517.67
553,Санкт-Петербург,2021-03-08,1858.8
554,Тольятти,2021-03-08,24916.08
555,Москва,2021-03-09,29524.0
556,Санкт-Петербург,2021-03-09,4297.55
557,Тольятти,2021-03-09,19508.16
558,Москва,2021-03-10,25519.02
559,Самара,2021-03-10,1252.8
560,Санкт-Петербург,2021-03-10,4364.21
561,Тольятти,2021-03-10,23213.4
562,Москва,2021-03-11,27477.2
563,Самара,2021-03-11,1252.8
564,Санкт-Петербург,2021-03-11,2912.19
565,Тольятти,2021-03-11,17972.22
566,Москва,2021-03-12,30042.4
567,Самара,2021-03-12,1253.86
568,Санкт-Петербург,2021-03-12,2908.8
569,Тольятти,2021-03-12,12381.61
570,Москва,2021-03-13,35283.0
571,Самара,2021-03-13,4997.67
572,Санкт-Петербург,2021-03-13,1454.4
573,Тольятти,2021-03-13,16980.6
574,Москва,2021-03-14,22838.4
575,Самара,2021-03-14,6210.64
576,Санкт-Петербург,2021-03-14,4363.2
577,Тольятти,2021-03-14,24958.78
578,Москва,2021-03-15,28397.8
579,Самара,2021-03-15,2505.6
580,Санкт-Петербург,2021-03-15,6315.46
581,Тольятти,2021-03-15,19757.64
582,Москва,2021-03-16,30962.0
583,Самара,2021-03-16,2505.6
584,Санкт-Петербург,2021-03-16,4368.61
585,Тольятти,2021-03-16,23509.52
586,Москва,2021-03-17,25517.8
587,Самара,2021-03-17,3758.4
588,Санкт-Петербург,2021-03-17,2908.8
589,Тольятти,2021-03-17,14716.8
590,Москва,2021-03-18,31470.4
591,Самара,2021-03-18,2505.6
592,Санкт-Петербург,2021-03-18,5817.6
593,Тольятти,2021-03-18,15601.39
594,Москва,2021-03-19,30961.0
595,Самара,2021-03-19,3758.4
596,Санкт-Петербург,2021-03-19,7272.0
597,Тольятти,2021-03-19,10987.2
598,Москва,2021-03-20,32603.6
599,Самара,2021-03-20,6249.6
600,Санкт-Петербург,2021-03-20,5819.62
