,reg_t_title_ru,use_of_the_mobile_app,COUNT(DISTINCT users_transactions_car_id)
309,Москва,2021-04-24,99
310,Москва,2021-04-25,99
311,Москва,2021-04-26,103
312,Москва,2021-04-27,93
313,Москва,2021-04-28,94
314,Москва,2021-04-29,99
315,Москва,2021-04-30,97
316,Москва,2021-05-01,94
317,Москва,2021-05-02,93
318,Москва,2021-05-03,92
319,Москва,2021-05-04,91
320,Москва,2021-05-05,92
321,Москва,2021-05-06,88
322,Москва,2021-05-07,90
323,Москва,2021-05-08,86
324,Москва,2021-05-09,87
325,Москва,2021-05-10,89
326,Москва,2021-05-11,93
327,Москва,2021-05-12,67
328,Москва,2021-05-13,41
329,Москва,2021-05-14,63
330,Москва,2021-05-15,93
331,Москва,2021-05-16,97
332,Москва,2021-05-17,92
333,Москва,2021-05-18,92
334,Москва,2021-05-19,88
335,Москва,2021-05-20,96
336,Москва,2021-05-21,95
337,Москва,2021-05-22,96
338,Москва,2021-05-23,94
339,Москва,2021-05-24,96
340,Москва,2021-05-25,93
341,Москва,2021-05-26,94
342,Москва,2021-05-27,97
343,Москва,2021-05-28,93
344,Москва,2021-05-29,94
345,Москва,2021-05-30,95
346,Москва,2021-05-31,97
347,Москва,2021-06-01,92
348,Москва,2021-06-02,92
349,Москва,2021-06-03,87
350,Москва,2021-06-04,89
351,Москва,2021-06-05,88
352,Москва,2021-06-06,89
353,Москва,2021-06-07,90
354,Москва,2021-06-08,88
355,Москва,2021-06-09,87
356,Москва,2021-06-10,85
357,Москва,2021-06-11,86
358,Москва,2021-06-12,84
359,Москва,2021-06-13,86
360,Москва,2021-06-14,86
361,Москва,2021-06-15,85
362,Москва,2021-06-16,84
363,Москва,2021-06-17,81
364,Москва,2021-06-18,83
365,Москва,2021-06-19,73
366,Москва,2021-06-20,76
367,Москва,2021-06-21,77
368,Москва,2021-06-22,71
369,Москва,2021-06-23,74
370,Москва,2021-06-24,72
371,Москва,2021-06-25,71
372,Москва,2021-06-26,70
373,Москва,2021-06-27,70
374,Москва,2021-06-28,71
375,Москва,2021-06-29,71
376,Москва,2021-06-30,71
377,Москва,2021-07-01,73
378,Москва,2021-07-02,69
379,Москва,2021-07-03,68
380,Москва,2021-07-04,70
381,Москва,2021-07-05,72
382,Москва,2021-07-06,70
383,Москва,2021-07-07,71
384,Москва,2021-07-08,69
385,Москва,2021-07-09,70
386,Москва,2021-07-10,69
387,Москва,2021-07-11,68
388,Москва,2021-07-12,67
389,Москва,2021-07-13,65
390,Москва,2021-07-14,65
391,Москва,2021-07-15,60
392,Москва,2021-07-16,49
393,Москва,2021-07-17,52
394,Москва,2021-07-18,52
395,Москва,2021-07-19,56
396,Москва,2021-07-20,50
397,Москва,2021-07-21,55
398,Москва,2021-07-22,53
399,Москва,2021-07-23,53
400,Москва,2021-07-24,53
401,Москва,2021-07-25,54
402,Москва,2021-07-26,54
403,Москва,2021-07-27,54
404,Москва,2021-07-28,56
405,Москва,2021-07-29,56
406,Москва,2021-07-30,54
407,Москва,2021-07-31,49
408,Москва,2021-08-01,48
409,Москва,2021-08-02,52
410,Москва,2021-08-03,48
411,Москва,2021-08-04,51
412,Москва,2021-08-05,49
413,Москва,2021-08-06,50
414,Москва,2021-08-07,48
415,Москва,2021-08-08,50
416,Москва,2021-08-09,52
417,Москва,2021-08-10,49
418,Москва,2021-08-11,49
419,Москва,2021-08-12,52
420,Москва,2021-08-13,53
421,Москва,2021-08-14,50
422,Москва,2021-08-15,51
423,Москва,2021-08-16,52
424,Москва,2021-08-17,50
425,Москва,2021-08-18,49
426,Москва,2021-08-19,52
427,Москва,2021-08-20,50
428,Москва,2021-08-21,47
429,Москва,2021-08-22,51
430,Москва,2021-08-23,52
431,Москва,2021-08-24,49
432,Москва,2021-08-25,49
433,Москва,2021-08-26,47
434,Москва,2021-08-27,50
435,Москва,2021-08-28,51
436,Москва,2021-08-29,51
437,Москва,2021-08-30,53
438,Москва,2021-08-31,54
439,Москва,2021-09-01,53
440,Москва,2021-09-02,57
441,Москва,2021-09-03,57
442,Москва,2021-09-04,56
443,Москва,2021-09-05,57
444,Москва,2021-09-06,60
445,Москва,2021-09-07,57
446,Москва,2021-09-08,60
447,Москва,2021-09-09,60
448,Москва,2021-09-10,59
449,Москва,2021-09-11,58
450,Москва,2021-09-12,58
451,Москва,2021-09-13,61
452,Москва,2021-09-14,61
453,Москва,2021-09-15,64
454,Москва,2021-09-16,63
455,Москва,2021-09-17,65
456,Москва,2021-09-18,63
457,Москва,2021-09-19,63
458,Москва,2021-09-20,64
459,Москва,2021-09-21,63
460,Москва,2021-09-22,64
461,Москва,2021-09-23,66
462,Москва,2021-09-24,67
463,Москва,2021-09-25,65
464,Москва,2021-09-26,65
465,Москва,2021-09-27,67
466,Москва,2021-09-28,67
467,Москва,2021-09-29,71
468,Москва,2021-09-30,69
469,Москва,2021-10-01,72
470,Москва,2021-10-02,70
471,Москва,2021-10-03,70
472,Москва,2021-10-04,71
473,Москва,2021-10-05,70
474,Москва,2021-10-06,73
475,Москва,2021-10-07,71
476,Москва,2021-10-08,72
477,Москва,2021-10-09,69
478,Москва,2021-10-10,69
479,Москва,2021-10-11,73
480,Москва,2021-10-12,68
481,Москва,2021-10-13,71
482,Москва,2021-10-14,71
483,Москва,2021-10-15,76
484,Москва,2021-10-16,75
485,Москва,2021-10-17,74
486,Москва,2021-10-18,77
487,Москва,2021-10-19,74
488,Москва,2021-10-20,79
489,Москва,2021-10-21,76
490,Москва,2021-10-22,79
491,Москва,2021-10-23,79
492,Москва,2021-10-24,80
493,Москва,2021-10-25,81
494,Москва,2021-10-26,82
495,Москва,2021-10-27,82
496,Москва,2021-10-28,80
497,Москва,2021-10-29,78
498,Москва,2021-10-30,79
499,Москва,2021-10-31,79
500,Москва,2021-11-01,79
501,Москва,2021-11-02,77
502,Москва,2021-11-03,74
503,Москва,2021-11-04,73
504,Москва,2021-11-05,72
505,Москва,2021-11-06,72
506,Москва,2021-11-07,72
507,Москва,2021-11-08,76
508,Москва,2021-11-09,77
509,Москва,2021-11-10,77
510,Москва,2021-11-11,76
511,Москва,2021-11-12,76
512,Москва,2021-11-13,75
513,Москва,2021-11-14,75
514,Москва,2021-11-15,76
515,Москва,2021-11-16,73
516,Москва,2021-11-17,69
517,Москва,2021-11-18,72
518,Москва,2021-11-19,72
519,Москва,2021-11-20,71
520,Москва,2021-11-21,73
521,Москва,2021-11-22,76
522,Москва,2021-11-23,71
523,Москва,2021-11-24,75
524,Москва,2021-11-25,73
525,Москва,2021-11-26,76
526,Москва,2021-11-27,73
527,Москва,2021-11-28,74
528,Москва,2021-11-29,77
529,Москва,2021-11-30,71
530,Москва,2021-12-01,71
531,Москва,2021-12-02,62
532,Москва,2021-12-03,64
533,Москва,2021-12-04,67
534,Москва,2021-12-05,67
535,Москва,2021-12-06,73
536,Москва,2021-12-07,70
537,Москва,2021-12-08,72
538,Москва,2021-12-09,72
539,Москва,2021-12-10,71
540,Москва,2021-12-11,75
541,Москва,2021-12-12,74
542,Москва,2021-12-13,79
543,Москва,2021-12-14,75
544,Москва,2021-12-15,76
545,Москва,2021-12-16,77
546,Москва,2021-12-17,76
547,Москва,2021-12-18,74
548,Москва,2021-12-19,80
549,Москва,2021-12-20,79
550,Москва,2021-12-21,79
551,Москва,2021-12-22,80
552,Москва,2021-12-23,85
553,Москва,2021-12-24,85
554,Москва,2021-12-25,83
555,Москва,2021-12-26,83
556,Москва,2021-12-27,84
557,Москва,2021-12-28,78
558,Москва,2021-12-29,82
559,Москва,2021-12-30,82
560,Москва,2021-12-31,74
561,Москва,2022-01-01,73
562,Москва,2022-01-02,73
563,Москва,2022-01-03,71
564,Москва,2022-01-04,75
565,Москва,2022-01-05,82
566,Москва,2022-01-06,84
567,Москва,2022-01-07,86
568,Москва,2022-01-08,85
569,Москва,2022-01-09,85
570,Москва,2022-01-10,85
571,Москва,2022-01-11,85
572,Москва,2022-01-12,84
573,Москва,2022-01-13,82
574,Москва,2022-01-14,84
575,Москва,2022-01-15,83
576,Москва,2022-01-16,83
577,Москва,2022-01-17,83
578,Москва,2022-01-18,82
579,Москва,2022-01-19,81
580,Москва,2022-01-20,79
581,Москва,2022-01-21,80
582,Москва,2022-01-22,79
583,Москва,2022-01-23,79
584,Москва,2022-01-24,78
585,Москва,2022-01-25,75
586,Москва,2022-01-26,74
587,Москва,2022-01-27,75
588,Москва,2022-01-28,74
589,Москва,2022-01-29,75
590,Москва,2022-01-30,75
591,Москва,2022-01-31,74
592,Москва,2022-02-01,70
593,Москва,2022-02-02,68
594,Москва,2022-02-03,66
595,Москва,2022-02-04,68
596,Москва,2022-02-05,68
597,Москва,2022-02-06,68
598,Москва,2022-02-07,67
599,Москва,2022-02-08,66
600,Москва,2022-02-09,63
601,Москва,2022-02-10,62
602,Москва,2022-02-11,63
603,Москва,2022-02-12,65
604,Москва,2022-02-13,64
605,Москва,2022-02-14,62
606,Москва,2022-02-15,67
607,Москва,2022-02-16,64
608,Москва,2022-02-17,65
609,Москва,2022-02-18,66
610,Москва,2022-02-19,66
611,Москва,2022-02-20,65
612,Москва,2022-02-21,64
613,Москва,2022-02-22,63
614,Москва,2022-02-23,67
615,Москва,2022-02-24,67
616,Москва,2022-02-25,67
617,Москва,2022-02-26,67
618,Москва,2022-02-27,67
619,Москва,2022-02-28,65
620,Москва,2022-03-01,67
621,Москва,2022-03-02,66
622,Москва,2022-03-03,66
623,Москва,2022-03-04,67
